epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,7751.23,0.48257,0.38104,0.99848,0.92263,0.93899,0.96531,0.91139,0.5731,0.46252,1.27049,0.000173252,0.000173252,0.000173252
155,7801.43,0.48302,0.39347,0.99883,0.92595,0.92257,0.96628,0.91575,0.55506,0.44933,1.23688,0.000169718,0.000169718,0.000169718
156,7851.47,0.49118,0.39579,1.00335,0.94362,0.89816,0.96274,0.90463,0.59356,0.44383,1.27744,0.000166183,0.000166183,0.000166183
157,7901.57,0.47093,0.38192,0.99548,0.8934,0.92695,0.95867,0.90257,0.56122,0.4876,1.18201,0.000162649,0.000162649,0.000162649
158,7952.33,0.47714,0.38363,0.9995,0.9261,0.91751,0.96257,0.90077,0.5432,0.4593,1.18961,0.000159115,0.000159115,0.000159115
159,8003.57,0.47509,0.38288,0.99765,0.92364,0.93643,0.96303,0.9028,0.57728,0.41742,1.24104,0.000155581,0.000155581,0.000155581
160,8053.72,0.46371,0.38137,0.99313,0.93347,0.93197,0.96677,0.9017,0.55662,0.39382,1.19444,0.000152046,0.000152046,0.000152046
161,8103.95,0.4653,0.37341,0.99408,0.90932,0.92847,0.96099,0.90413,0.58043,0.45322,1.27907,0.000148512,0.000148512,0.000148512
162,8154.35,0.46463,0.37335,0.98921,0.9447,0.93562,0.96234,0.90719,0.58304,0.40038,1.31494,0.000144978,0.000144978,0.000144978
163,8204.71,0.45345,0.36569,0.98795,0.91944,0.9292,0.9644,0.90453,0.59489,0.4083,1.36134,0.000141443,0.000141443,0.000141443
164,8254.58,0.46367,0.37352,0.98775,0.92345,0.93313,0.96563,0.90455,0.54958,0.40124,1.19459,0.000137909,0.000137909,0.000137909
165,8304.8,0.46924,0.37309,0.99108,0.92002,0.92969,0.96504,0.90073,0.57228,0.43284,1.19428,0.000134375,0.000134375,0.000134375
166,8355.33,0.45901,0.37438,0.98847,0.93434,0.93271,0.96404,0.90485,0.57443,0.4226,1.27386,0.000130841,0.000130841,0.000130841
167,8405.55,0.46873,0.37596,0.99386,0.93026,0.91326,0.96115,0.90668,0.57514,0.41943,1.35317,0.000127306,0.000127306,0.000127306
168,8455.65,0.46057,0.37253,0.99045,0.90865,0.91755,0.96186,0.90636,0.55503,0.45315,1.25111,0.000123772,0.000123772,0.000123772
169,8506,0.45673,0.36758,0.98921,0.91654,0.93045,0.96637,0.90617,0.54603,0.43851,1.20914,0.000120238,0.000120238,0.000120238
170,8555.91,0.45404,0.36129,0.99223,0.93094,0.92357,0.96698,0.91482,0.5422,0.4333,1.23038,0.000116703,0.000116703,0.000116703
171,8606.15,0.44407,0.359,0.97844,0.91762,0.92318,0.96459,0.91224,0.53179,0.46078,1.17771,0.000113169,0.000113169,0.000113169
172,8656.19,0.4553,0.3659,0.98509,0.92485,0.92347,0.96437,0.91256,0.54817,0.49816,1.20183,0.000109635,0.000109635,0.000109635
173,8705.81,0.44624,0.35867,0.97808,0.91618,0.93328,0.96507,0.90535,0.54275,0.48947,1.15898,0.0001061,0.0001061,0.0001061
174,8755.46,0.44676,0.36128,0.98382,0.9081,0.92373,0.96195,0.9055,0.53942,0.49801,1.15079,0.000102566,0.000102566,0.000102566
175,8805.51,0.44437,0.35468,0.98092,0.89827,0.92898,0.96392,0.91237,0.53255,0.52203,1.11987,9.90318e-05,9.90318e-05,9.90318e-05
176,8855.46,0.44863,0.3581,0.98386,0.92191,0.93166,0.96518,0.91659,0.51974,0.45885,1.13367,9.54975e-05,9.54975e-05,9.54975e-05
177,8905.36,0.44545,0.3577,0.97946,0.9149,0.92884,0.9648,0.9103,0.53266,0.46949,1.14685,9.19632e-05,9.19632e-05,9.19632e-05
178,8955.31,0.45037,0.36294,0.9908,0.9022,0.92341,0.95817,0.90794,0.53277,0.51464,1.11641,8.84289e-05,8.84289e-05,8.84289e-05
179,9004.87,0.45407,0.35623,0.98301,0.89533,0.90624,0.95895,0.9015,0.53171,0.56917,1.10744,8.48946e-05,8.48946e-05,8.48946e-05
